gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Result
female,group C,some college,standard,none,73,80,82,Passed
female,group C,some college,free/reduced,none,76,83,88,Passed
female,group D,associate's degree,standard,none,71,71,74,Passed
female,group A,some college,standard,none,58,70,67,Failed
female,group D,some high school,standard,none,73,86,82,Passed
female,group C,bachelor's degree,standard,none,65,72,74,Passed
male,group C,high school,free/reduced,none,27,34,36,Failed
male,group C,high school,standard,none,71,79,71,Passed
male,group C,associate's degree,free/reduced,completed,43,45,50,Failed
female,group B,some college,standard,none,79,86,92,Passed
male,group C,associate's degree,free/reduced,completed,78,81,82,Passed
male,group B,some high school,standard,completed,65,66,62,Failed
female,group E,some college,standard,completed,63,72,70,Passed
female,group D,some college,free/reduced,none,58,67,62,Failed
female,group D,bachelor's degree,standard,none,65,67,62,Failed
male,group B,some college,standard,none,79,67,67,Passed
male,group D,bachelor's degree,standard,completed,68,74,74,Passed
female,group D,associate's degree,standard,none,85,91,89,Passed
male,group B,high school,standard,completed,60,44,47,Failed
male,group C,some college,standard,completed,98,86,90,Passed
female,group C,some college,standard,none,58,67,72,Failed
female,group D,master's degree,standard,none,87,100,100,Passed
male,group E,associate's degree,standard,completed,66,63,64,Failed
female,group B,associate's degree,free/reduced,none,52,76,70,Failed
female,group B,some high school,standard,none,70,64,72,Passed
female,group D,associate's degree,free/reduced,completed,77,89,98,Passed
male,group C,high school,standard,none,62,55,49,Failed
male,group A,associate's degree,standard,none,54,53,47,Failed
female,group D,some college,standard,none,51,58,54,Failed
female,group E,bachelor's degree,standard,completed,99,100,100,Passed
male,group C,high school,standard,none,84,77,74,Passed
female,group B,bachelor's degree,free/reduced,none,75,85,82,Passed
female,group D,bachelor's degree,standard,none,78,82,79,Passed
female,group D,some high school,standard,none,51,63,61,Failed
female,group C,some college,standard,none,55,69,65,Failed
female,group C,bachelor's degree,standard,completed,79,92,89,Passed
male,group B,associate's degree,standard,completed,91,89,92,Passed
female,group C,some college,standard,completed,88,93,93,Passed
male,group D,high school,free/reduced,none,63,57,56,Failed
male,group E,some college,standard,none,83,80,73,Passed
female,group B,high school,standard,none,87,95,86,Passed
male,group B,some high school,standard,none,72,68,67,Passed
male,group D,some college,standard,completed,65,77,74,Passed
male,group D,master's degree,standard,none,82,82,74,Passed
female,group A,bachelor's degree,standard,none,51,49,51,Failed
male,group D,master's degree,standard,none,89,84,82,Passed
male,group C,some high school,free/reduced,completed,53,37,40,Failed
male,group E,some college,free/reduced,completed,87,74,70,Passed
female,group C,some college,standard,completed,75,81,84,Passed
male,group D,bachelor's degree,free/reduced,completed,74,79,75,Passed
male,group C,bachelor's degree,standard,none,58,55,48,Failed
male,group B,some high school,standard,completed,51,54,41,Failed
male,group E,high school,standard,none,70,55,56,Failed
female,group C,associate's degree,standard,none,59,66,67,Failed
male,group D,some college,standard,completed,71,61,69,Passed
female,group D,some high school,standard,none,76,72,71,Passed
female,group C,some college,free/reduced,none,59,62,64,Failed
female,group E,some college,free/reduced,completed,42,55,54,Failed
male,group A,high school,standard,none,57,43,47,Failed
male,group D,some college,standard,none,88,73,78,Passed
female,group C,some college,free/reduced,none,22,39,33,Failed
male,group B,some high school,standard,none,88,84,75,Passed
male,group C,associate's degree,free/reduced,none,73,68,66,Passed
female,group D,bachelor's degree,standard,completed,68,75,81,Passed
male,group E,associate's degree,free/reduced,completed,100,100,93,Passed
male,group A,some high school,standard,completed,62,67,69,Failed
male,group A,bachelor's degree,standard,none,77,67,68,Passed
female,group B,associate's degree,standard,completed,59,70,66,Failed
male,group D,bachelor's degree,standard,none,54,49,47,Failed
male,group D,some high school,standard,none,62,67,61,Failed
female,group C,some college,standard,completed,70,89,88,Passed
female,group E,high school,free/reduced,completed,66,74,78,Passed
male,group B,some college,free/reduced,none,60,60,60,Failed
female,group B,associate's degree,standard,completed,61,86,87,Passed
male,group D,associate's degree,free/reduced,none,66,62,64,Failed
male,group B,associate's degree,free/reduced,completed,82,78,74,Passed
female,group E,some college,free/reduced,completed,75,88,85,Passed
male,group B,master's degree,free/reduced,none,49,53,52,Failed
male,group C,high school,standard,none,52,53,49,Failed
female,group E,master's degree,standard,none,81,92,91,Passed
female,group C,bachelor's degree,standard,completed,96,100,100,Passed
male,group C,high school,free/reduced,completed,53,51,51,Failed
female,group B,master's degree,free/reduced,completed,58,76,78,Passed
female,group B,high school,standard,completed,68,83,78,Passed
female,group C,some college,free/reduced,completed,67,75,70,Passed
male,group A,high school,standard,completed,72,73,74,Passed
male,group E,some high school,standard,none,94,88,78,Passed
female,group D,some college,standard,none,79,86,81,Passed
female,group C,associate's degree,standard,none,63,67,70,Failed
female,group C,bachelor's degree,free/reduced,completed,43,51,54,Failed
female,group C,master's degree,standard,completed,81,91,87,Passed
female,group B,high school,free/reduced,completed,46,54,58,Failed
female,group C,associate's degree,standard,completed,71,77,77,Passed
female,group B,master's degree,free/reduced,completed,52,70,62,Failed
female,group D,some high school,standard,completed,97,100,100,Passed
male,group C,master's degree,free/reduced,completed,62,68,75,Passed
female,group C,some college,free/reduced,none,46,64,66,Failed
female,group E,high school,standard,none,50,50,47,Failed
female,group D,associate's degree,standard,none,65,69,70,Passed
male,group C,some high school,free/reduced,completed,45,52,49,Failed
male,group C,associate's degree,free/reduced,completed,65,67,65,Failed
male,group E,high school,standard,none,80,76,65,Passed
male,group D,some high school,standard,completed,62,66,68,Failed
male,group B,some high school,free/reduced,none,48,52,45,Failed
female,group C,bachelor's degree,standard,none,77,88,87,Passed
female,group E,associate's degree,standard,none,66,65,69,Failed
male,group D,some college,standard,completed,76,83,79,Passed
female,group B,some high school,standard,none,62,64,66,Failed
male,group D,some college,standard,completed,77,62,62,Passed
female,group C,master's degree,standard,completed,69,84,85,Passed
male,group D,associate's degree,standard,none,61,55,52,Failed
male,group C,some high school,free/reduced,completed,59,69,65,Failed
male,group E,high school,free/reduced,none,55,56,51,Failed
female,group B,some college,free/reduced,none,45,53,55,Failed
female,group B,bachelor's degree,free/reduced,none,78,79,76,Passed
female,group C,associate's degree,standard,completed,67,84,86,Passed
female,group D,some college,free/reduced,none,65,81,77,Passed
male,group C,associate's degree,standard,none,69,77,69,Passed
female,group B,associate's degree,standard,none,57,69,68,Failed
male,group C,some college,standard,none,59,41,42,Failed
male,group D,some high school,standard,completed,74,71,78,Passed
male,group E,bachelor's degree,standard,none,82,62,62,Passed
male,group E,high school,standard,completed,81,80,76,Passed
female,group B,some college,free/reduced,none,74,81,76,Passed
female,group B,some college,free/reduced,none,58,61,66,Failed
male,group D,some high school,free/reduced,completed,80,79,79,Passed
male,group C,some college,free/reduced,none,35,28,27,Failed
female,group C,high school,free/reduced,none,42,62,60,Failed
male,group C,associate's degree,free/reduced,completed,60,51,56,Failed
male,group E,high school,standard,completed,87,91,81,Passed
male,group B,some high school,standard,completed,84,83,75,Passed
female,group E,associate's degree,free/reduced,completed,83,86,88,Passed
female,group C,high school,free/reduced,none,34,42,39,Failed
male,group B,high school,free/reduced,none,66,77,70,Passed
male,group B,some high school,standard,completed,61,56,56,Failed
female,group D,high school,standard,completed,56,68,74,Failed
male,group B,associate's degree,standard,none,87,85,73,Passed
female,group C,some high school,free/reduced,none,55,65,62,Failed
male,group D,some high school,standard,none,86,80,75,Passed
female,group B,associate's degree,standard,completed,52,66,73,Failed
female,group E,master's degree,free/reduced,none,45,56,54,Failed
female,group C,some college,standard,none,72,72,71,Passed
male,group D,high school,standard,none,57,50,54,Failed
male,group A,some high school,free/reduced,none,68,72,64,Passed
female,group C,some college,standard,completed,88,95,94,Passed
male,group D,some college,standard,none,76,64,66,Passed
male,group C,associate's degree,standard,none,46,43,42,Failed
female,group B,bachelor's degree,standard,none,67,86,83,Passed
male,group E,some high school,standard,none,92,87,78,Passed
male,group C,bachelor's degree,standard,completed,83,82,84,Passed
male,group D,associate's degree,standard,none,80,75,77,Passed
male,group D,bachelor's degree,free/reduced,none,63,66,67,Failed
female,group D,some high school,standard,completed,64,60,74,Failed
male,group B,some college,standard,none,54,52,51,Failed
male,group C,associate's degree,standard,none,84,80,80,Passed
male,group D,high school,free/reduced,completed,73,68,66,Passed
female,group E,bachelor's degree,standard,none,80,83,83,Passed
female,group D,high school,standard,none,56,52,55,Failed
male,group E,some college,standard,none,59,51,43,Failed
male,group D,some high school,standard,none,75,74,69,Passed
male,group C,associate's degree,standard,none,85,76,71,Passed
male,group E,associate's degree,standard,none,89,76,74,Passed
female,group B,high school,standard,completed,58,70,68,Failed
female,group B,high school,standard,none,65,64,62,Failed
male,group C,high school,standard,none,68,60,53,Failed
male,group A,some high school,standard,completed,47,49,49,Failed
female,group D,some college,free/reduced,none,71,83,83,Passed
female,group B,some high school,standard,completed,60,70,70,Failed
male,group D,master's degree,standard,none,80,80,72,Passed
male,group D,high school,standard,none,54,52,52,Failed
female,group E,some college,standard,none,62,73,70,Passed
female,group C,associate's degree,free/reduced,none,64,73,68,Passed
male,group C,associate's degree,standard,completed,78,77,77,Passed
female,group B,some college,standard,none,70,75,78,Passed
female,group C,master's degree,free/reduced,completed,65,81,81,Passed
female,group C,some high school,free/reduced,completed,64,79,77,Passed
male,group C,some college,standard,completed,79,79,78,Passed
female,group C,some high school,free/reduced,none,44,50,51,Failed
female,group E,high school,standard,none,99,93,90,Passed
male,group D,high school,standard,none,76,73,68,Passed
male,group D,some high school,free/reduced,none,59,42,41,Failed
female,group C,bachelor's degree,standard,none,63,75,81,Passed
female,group D,high school,standard,none,69,72,77,Passed
female,group D,associate's degree,standard,completed,88,92,95,Passed
female,group E,some college,free/reduced,none,71,76,70,Passed
male,group C,bachelor's degree,standard,none,69,63,61,Failed
male,group C,some college,standard,none,58,49,42,Failed
female,group D,associate's degree,free/reduced,none,47,53,58,Failed
female,group D,some college,standard,none,65,70,71,Passed
male,group B,some college,standard,completed,88,85,76,Passed
male,group C,bachelor's degree,standard,none,83,78,73,Passed
female,group C,some high school,standard,completed,85,92,93,Passed
female,group E,high school,standard,completed,59,63,75,Failed
female,group C,some high school,free/reduced,none,65,86,80,Passed
male,group B,bachelor's degree,free/reduced,none,73,56,57,Failed
male,group D,high school,standard,none,53,52,42,Failed
male,group D,high school,standard,none,45,48,46,Failed
female,group D,bachelor's degree,free/reduced,none,73,79,84,Passed
female,group D,some college,free/reduced,completed,70,78,78,Passed
female,group B,some high school,standard,none,37,46,46,Failed
male,group B,associate's degree,standard,completed,81,82,82,Passed
male,group E,associate's degree,standard,completed,97,82,88,Passed
female,group B,some high school,standard,none,67,89,82,Passed
male,group B,bachelor's degree,free/reduced,none,88,75,76,Passed
male,group E,some high school,standard,completed,77,76,77,Passed
male,group C,associate's degree,standard,none,76,70,68,Passed
male,group D,some high school,standard,none,86,73,70,Passed
male,group C,some high school,standard,completed,63,60,57,Failed
female,group E,bachelor's degree,standard,none,65,73,75,Passed
male,group D,high school,free/reduced,completed,78,77,80,Passed
male,group B,associate's degree,free/reduced,none,67,62,60,Failed
male,group A,some high school,standard,completed,46,41,43,Failed
male,group E,associate's degree,standard,completed,71,74,68,Passed
male,group C,high school,free/reduced,completed,40,46,50,Failed
male,group D,associate's degree,free/reduced,none,90,87,75,Passed
male,group A,some college,free/reduced,completed,81,78,81,Passed
male,group D,some high school,free/reduced,none,56,54,52,Failed
female,group C,associate's degree,standard,completed,67,84,81,Passed
male,group B,associate's degree,standard,none,80,76,64,Passed
female,group C,associate's degree,standard,completed,74,75,83,Passed
male,group A,some college,standard,none,69,67,69,Passed
male,group E,some college,standard,completed,99,87,81,Passed
male,group C,some high school,standard,none,51,52,44,Failed
female,group B,associate's degree,free/reduced,none,53,71,67,Failed
female,group D,high school,free/reduced,none,49,57,52,Failed
female,group B,associate's degree,standard,none,73,76,80,Passed
male,group B,bachelor's degree,standard,none,66,60,57,Failed
male,group D,bachelor's degree,standard,completed,67,61,68,Failed
female,group C,associate's degree,free/reduced,completed,68,67,69,Passed
female,group C,bachelor's degree,standard,completed,59,64,75,Failed
male,group C,high school,standard,none,71,66,65,Passed
female,group D,master's degree,standard,completed,77,82,91,Passed
male,group C,associate's degree,standard,none,83,72,78,Passed
male,group B,bachelor's degree,standard,none,63,71,69,Passed
female,group D,associate's degree,free/reduced,none,56,65,63,Failed
female,group C,high school,free/reduced,completed,67,79,84,Passed
female,group E,high school,standard,none,75,86,79,Passed
female,group C,some college,standard,none,71,81,80,Passed
female,group C,some high school,free/reduced,none,43,53,53,Failed
female,group C,high school,free/reduced,none,41,46,43,Failed
female,group C,some college,standard,none,82,90,94,Passed
male,group C,some college,standard,none,61,61,62,Failed
male,group A,some college,free/reduced,none,28,23,19,Failed
male,group C,associate's degree,standard,completed,82,75,77,Passed
female,group B,some high school,standard,none,41,55,51,Failed
male,group C,high school,standard,none,71,60,61,Failed
male,group C,associate's degree,standard,none,47,37,35,Failed
male,group E,associate's degree,standard,completed,62,56,53,Failed
male,group B,associate's degree,standard,none,90,78,81,Passed
female,group C,bachelor's degree,standard,none,83,93,95,Passed
female,group B,some college,free/reduced,none,61,68,66,Failed
male,group D,some high school,standard,completed,76,70,69,Passed
male,group C,associate's degree,standard,none,49,51,43,Failed
female,group B,some high school,free/reduced,none,24,38,27,Failed
female,group D,some high school,free/reduced,completed,35,55,60,Failed
male,group C,high school,free/reduced,none,58,61,52,Failed
female,group C,high school,standard,none,61,73,63,Failed
female,group B,high school,standard,completed,69,76,74,Passed
male,group D,associate's degree,standard,completed,67,72,67,Passed
male,group D,some college,standard,none,79,73,67,Passed
female,group C,high school,standard,none,72,80,75,Passed
male,group B,some college,standard,none,62,61,57,Failed
female,group C,bachelor's degree,standard,completed,77,94,95,Passed
male,group D,high school,free/reduced,none,75,74,66,Passed
male,group E,associate's degree,standard,none,87,74,76,Passed
female,group B,bachelor's degree,standard,none,52,65,69,Failed
male,group E,some college,standard,none,66,57,52,Failed
female,group C,some college,standard,completed,63,78,80,Passed
female,group C,associate's degree,standard,none,46,58,57,Failed
female,group C,some college,standard,none,59,71,70,Failed
female,group B,bachelor's degree,standard,none,61,72,70,Passed
male,group A,associate's degree,standard,none,63,61,61,Failed
female,group C,some college,free/reduced,completed,42,66,69,Failed
male,group D,some college,free/reduced,none,59,62,61,Failed
female,group D,some college,standard,none,80,90,89,Passed
female,group B,high school,standard,none,58,62,59,Failed
male,group B,some high school,standard,completed,85,84,78,Passed
female,group C,some college,standard,none,52,58,58,Failed
female,group D,some high school,free/reduced,none,27,34,32,Failed
male,group C,some college,standard,none,59,60,58,Failed
male,group A,bachelor's degree,free/reduced,completed,49,58,60,Failed
male,group C,high school,standard,completed,69,58,53,Failed
male,group C,bachelor's degree,free/reduced,none,61,66,61,Failed
female,group A,some high school,free/reduced,none,44,64,58,Failed
female,group D,some high school,standard,none,73,84,85,Passed
male,group E,some college,standard,none,84,77,71,Passed
female,group C,some college,free/reduced,completed,45,73,70,Failed
male,group D,some high school,standard,none,74,74,72,Passed
female,group D,some college,standard,completed,82,97,96,Passed
female,group D,bachelor's degree,standard,none,59,70,73,Passed
male,group E,associate's degree,free/reduced,none,46,43,41,Failed
female,group D,some high school,standard,none,80,90,82,Passed
female,group D,master's degree,free/reduced,completed,85,95,100,Passed
female,group A,some high school,standard,none,71,83,77,Passed
male,group A,bachelor's degree,standard,none,66,64,62,Failed
female,group B,associate's degree,standard,none,80,86,83,Passed
male,group C,associate's degree,standard,completed,87,100,95,Passed
male,group C,master's degree,free/reduced,none,79,81,71,Passed
female,group E,some high school,free/reduced,none,38,49,45,Failed
female,group A,some high school,free/reduced,none,38,43,43,Failed
female,group E,some college,standard,none,67,76,75,Passed
female,group E,bachelor's degree,standard,none,64,73,70,Passed
female,group C,associate's degree,free/reduced,none,57,78,67,Passed
female,group D,high school,standard,none,62,64,64,Failed
male,group D,master's degree,standard,none,73,70,75,Passed
male,group E,some high school,free/reduced,completed,73,67,59,Failed
female,group D,some college,standard,none,77,68,77,Passed
male,group E,some college,standard,none,76,67,67,Passed
male,group C,associate's degree,standard,completed,57,54,56,Failed
female,group C,some high school,standard,completed,65,74,77,Passed
male,group A,high school,free/reduced,none,48,45,41,Failed
female,group B,high school,free/reduced,none,50,67,63,Failed
female,group C,associate's degree,standard,none,85,89,95,Passed
male,group B,some high school,standard,none,74,63,57,Failed
male,group D,some high school,standard,none,60,59,54,Failed
female,group C,some high school,standard,completed,59,54,67,Failed
male,group A,some college,standard,none,53,43,43,Failed
female,group A,some college,free/reduced,none,49,65,55,Failed
female,group D,high school,standard,completed,88,99,100,Passed
female,group C,high school,standard,none,54,59,62,Failed
female,group C,some high school,standard,none,63,73,68,Passed
male,group B,associate's degree,standard,completed,65,65,63,Failed
female,group B,associate's degree,standard,none,82,80,77,Passed
female,group D,high school,free/reduced,completed,52,57,56,Failed
male,group D,associate's degree,standard,completed,87,84,85,Passed
female,group D,master's degree,standard,completed,70,71,74,Passed
male,group E,some college,standard,completed,84,83,78,Passed
male,group D,associate's degree,standard,none,71,66,60,Failed
male,group B,some high school,standard,completed,63,67,67,Failed
female,group C,bachelor's degree,free/reduced,completed,51,72,79,Passed
male,group E,high school,standard,none,84,73,69,Passed
male,group C,bachelor's degree,standard,completed,71,74,68,Passed
male,group C,associate's degree,standard,none,74,73,67,Passed
male,group D,some college,standard,none,68,59,62,Failed
male,group E,high school,free/reduced,completed,57,56,54,Failed
female,group C,associate's degree,free/reduced,completed,82,93,93,Passed
female,group D,high school,standard,completed,57,58,64,Failed
female,group D,master's degree,free/reduced,completed,47,58,67,Failed
female,group A,some high school,standard,completed,59,85,80,Passed
male,group B,some college,free/reduced,none,41,39,34,Failed
female,group C,some college,free/reduced,none,62,67,62,Failed
male,group C,bachelor's degree,standard,none,86,83,86,Passed
male,group C,some high school,free/reduced,none,69,71,65,Passed
male,group A,some high school,free/reduced,none,65,59,53,Failed
male,group C,some high school,free/reduced,none,68,63,54,Failed
male,group C,associate's degree,free/reduced,none,64,66,59,Failed
female,group C,high school,standard,none,61,72,70,Passed
male,group C,high school,standard,none,61,56,55,Failed
female,group A,some high school,free/reduced,none,47,59,50,Failed
male,group C,some high school,standard,none,73,66,66,Passed
male,group C,some college,free/reduced,completed,50,48,53,Failed
male,group D,associate's degree,standard,none,75,68,64,Passed
male,group D,associate's degree,free/reduced,none,75,66,73,Passed
male,group C,high school,standard,none,70,56,51,Failed
male,group D,some high school,standard,completed,89,88,82,Passed
female,group C,some college,standard,completed,67,81,79,Passed
female,group D,high school,standard,none,78,81,80,Passed
female,group A,some high school,free/reduced,none,59,73,69,Passed
female,group B,associate's degree,standard,none,73,83,76,Passed
male,group A,some high school,free/reduced,none,79,82,73,Passed
female,group C,some high school,standard,completed,67,74,77,Passed
male,group D,some college,free/reduced,none,69,66,60,Failed
male,group C,high school,standard,completed,86,81,80,Passed
male,group B,high school,standard,none,47,46,42,Failed
male,group B,associate's degree,standard,none,81,73,72,Passed
female,group C,some college,free/reduced,completed,64,85,85,Passed
female,group E,some college,standard,none,100,92,97,Passed
female,group C,associate's degree,free/reduced,none,65,77,74,Passed
male,group C,some college,free/reduced,none,65,58,49,Failed
female,group C,associate's degree,free/reduced,none,53,61,62,Failed
male,group C,bachelor's degree,free/reduced,none,37,56,47,Failed
female,group D,bachelor's degree,standard,none,79,89,89,Passed
male,group D,associate's degree,free/reduced,none,53,54,48,Failed
female,group E,bachelor's degree,standard,none,100,100,100,Passed
male,group B,high school,standard,completed,72,65,68,Passed
male,group C,bachelor's degree,free/reduced,none,53,58,55,Failed
male,group B,some college,free/reduced,none,54,54,45,Failed
female,group E,some college,standard,none,71,70,76,Passed
female,group C,some college,free/reduced,none,77,90,91,Passed
male,group A,bachelor's degree,standard,completed,75,58,62,Failed
female,group C,some college,standard,none,84,87,91,Passed
female,group D,associate's degree,free/reduced,none,26,31,38,Failed
male,group A,high school,free/reduced,completed,72,67,65,Passed
female,group A,high school,free/reduced,completed,77,88,85,Passed
male,group C,some college,standard,none,91,74,76,Passed
female,group C,associate's degree,standard,completed,83,85,90,Passed
female,group C,high school,standard,none,63,69,74,Passed
female,group C,associate's degree,standard,completed,68,86,84,Passed
female,group D,some high school,standard,none,59,67,61,Failed
female,group B,associate's degree,standard,completed,90,90,91,Passed
female,group D,bachelor's degree,standard,completed,71,76,83,Passed
male,group E,bachelor's degree,standard,completed,76,62,66,Passed
male,group D,associate's degree,standard,none,80,68,72,Passed
female,group D,master's degree,standard,none,55,64,70,Failed
male,group E,associate's degree,standard,none,76,71,67,Passed
male,group B,high school,standard,completed,73,71,68,Passed
female,group D,associate's degree,free/reduced,none,52,59,56,Failed
male,group C,some college,free/reduced,none,68,68,61,Failed
male,group A,high school,standard,none,59,52,46,Failed
female,group B,associate's degree,standard,none,49,52,54,Failed
male,group C,high school,standard,none,70,74,71,Passed
male,group D,some college,free/reduced,none,61,47,56,Failed
female,group C,associate's degree,free/reduced,none,60,75,74,Passed
male,group B,some high school,standard,completed,64,53,57,Failed
male,group A,associate's degree,free/reduced,completed,79,82,82,Passed
female,group A,associate's degree,free/reduced,none,65,85,76,Passed
female,group C,associate's degree,standard,none,64,64,70,Failed
female,group C,some college,standard,none,83,83,90,Passed
female,group C,bachelor's degree,standard,none,81,88,90,Passed
female,group B,high school,standard,none,54,64,68,Failed
male,group D,high school,standard,completed,68,64,66,Failed
female,group C,some college,standard,none,54,48,52,Failed
female,group D,some college,free/reduced,completed,59,78,76,Passed
female,group B,some high school,standard,none,66,69,68,Passed
male,group E,some college,standard,none,76,71,72,Passed
female,group D,master's degree,standard,none,74,79,82,Passed
female,group B,associate's degree,standard,completed,94,87,92,Passed
male,group C,some college,free/reduced,none,63,61,54,Failed
female,group E,associate's degree,standard,completed,95,89,92,Passed
female,group D,master's degree,free/reduced,none,40,59,54,Failed
female,group B,some high school,standard,none,82,82,80,Passed
male,group A,high school,standard,none,68,70,66,Passed
male,group B,bachelor's degree,free/reduced,none,55,59,54,Failed
male,group C,master's degree,standard,none,79,78,77,Passed
female,group C,bachelor's degree,standard,none,86,92,87,Passed
male,group D,some college,standard,none,76,71,73,Passed
male,group A,some high school,standard,none,64,50,43,Failed
male,group D,some high school,free/reduced,none,62,49,52,Failed
female,group B,some high school,standard,completed,54,61,62,Failed
female,group B,master's degree,free/reduced,completed,77,97,94,Passed
female,group C,some high school,standard,completed,76,87,85,Passed
female,group D,some college,standard,none,74,89,84,Passed
female,group E,some college,standard,completed,66,74,73,Passed
female,group D,some high school,standard,completed,66,78,78,Passed
female,group B,high school,free/reduced,completed,67,78,79,Passed
male,group D,some college,standard,none,71,49,52,Failed
female,group C,associate's degree,standard,none,91,86,84,Passed
male,group D,bachelor's degree,standard,none,69,58,57,Failed
male,group C,master's degree,free/reduced,none,54,59,50,Failed
male,group C,high school,standard,completed,53,52,49,Failed
male,group E,some college,standard,none,68,60,59,Failed
male,group C,some high school,free/reduced,completed,56,61,60,Failed
female,group C,high school,free/reduced,none,36,53,43,Failed
female,group D,bachelor's degree,free/reduced,none,29,41,47,Failed
female,group C,associate's degree,standard,none,62,74,70,Passed
female,group C,associate's degree,standard,completed,68,67,73,Passed
female,group C,some high school,standard,none,47,54,53,Failed
male,group E,associate's degree,standard,completed,62,61,58,Failed
female,group E,associate's degree,standard,completed,79,88,94,Passed
male,group B,high school,standard,completed,73,69,68,Passed
